Country,Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Italy,ITA,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30939.71425,32326.67421,34605.26273,33641.63375,31714.22095,
Jamaica,JAM,4704.04776,5111.465987,5209.859264,4989.734089,4834.284009,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,4664.530242,
Jordan,JOR,3736.645462,3852.890025,3910.346894,4044.426869,4131.44735,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,4282.765825,
Japan,JPN,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39400.73936,38891.08627,39808.16856,40777.6087,40193.25244,
Kazakhstan,KAZ,9070.488253,11634.0012,12386.69927,13890.63096,12807.26069,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9122.23343,
Kenya,KEN,1080.296184,1085.487152,1271.815383,1354.820833,1462.220052,1464.554009,1525.235192,1633.491216,1794.091175,1912.647867,1878.580703,
Kyrgyz Republic,KGZ,880.0377751,1123.883168,1177.974735,1282.437162,1279.769783,1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,1173.611304,
Cambodia,KHM,785.5026671,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1543.669258,
Kiribati,KIR,1516.76323,1734.903839,1788.691439,1715.814321,1642.820129,1542.616465,1584.738015,1640.571205,1727.845001,1601.861869,1653.540297,
St. Kitts and Nevis,KNA,15510.19915,16539.76901,16046.48694,16685.94759,18051.17903,18028.97343,19541.12783,20384.74788,20567.49911,22046.68991,18437.74892,
"Korea, Rep.",KOR,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33422.94421,31936.79635,31631.46945,
Kuwait,KWT,38577.49828,48631.7834,51979.12069,49388.05338,44062.34091,29869.55275,27653.15762,29759.46747,33399.06044,32373.25112,24811.76971,
Latin America & Caribbean (excluding high income),LAC,8504.575657,9820.721079,9674.231156,9829.893489,9776.346543,8240.814501,7930.901915,8744.995172,8408.174698,8226.236324,6779.199717,
